星遺物の導き,セイイブツノミチビキ
巨大戦艦 ビッグ・コアMk-III,キョダイセンカン ビッグ・コアマークスリー
魔術師の右手,マジュツシノミギテ
No.81 超弩級砲塔列車スペリオル・ドーラ,ナンバーズハチジュウイチ チョウドキュウホウトウレッシャスペリオル・ドーラ
独奏の第1楽章,ドクソウノダイイチガクショウ
FNo.0 未来皇ホープ,フューチャーナンバーズゼロ ミライオウホープ
蛮族の狂宴LV5,バンゾクノキョウエンレベルファイブ
No.86 H-C ロンゴミアント,ナンバーズハチジュウロク ヒロイック-チャンピオン ロンゴミアント
No.62 銀河眼の光子竜皇,ナンバーズロクジュウニ ギャラクシーアイズ・プライム・フォトン・ドラゴン
CNo.107 超銀河眼の時空龍,カオスナンバーズヒャクナナ ネオ・ギャラクシーアイズ・タキオン・ドラゴン
No.103 神葬零嬢ラグナ・ゼロ,ナンバーズヒャクサン シンソウレイジョウラグナ・ゼロ
CNo.103 神葬零嬢ラグナ・インフィニティ,カオスナンバーズヒャクサン シンソウレイジョウラグナ・インフィニティ
CNo.102 光堕天使ノーブル・デーモン,カオスナンバーズヒャクニ アンホーリー・ライトニングノーブル・デーモン
No.80 狂装覇王ラプソディ・イン・バーサーク,ナンバーズハチジュウ キョウソウハオウラプソディ・イン・バーサーク
CNo.80 葬装覇王レクイエム・イン・バーサーク,カオスナンバーズハチジュウ ソウソウハオウレクイエム・イン・バーサーク
No.43 魂魄傀儡鬼ソウル・マリオネッター,ナンバーズヨンジュウサン コンバククグツキソウル・マリオネッター
CNo.43 魂魄傀儡鬼神カオス・マリオネッター,カオスナンバーズヨンジュウサン コンバククグツキシンカオス・マリオネッター
No.55 ゴゴゴゴライアス,ナンバーズゴジュウゴ ゴゴゴゴライアス
No.79 BK 新星のカイザー,ナンバーズナナジュウキュウ バーニングナックラー シンセイノカイザー
CNo.101 S・H・Dark Knight,カオスナンバーズヒャクイチ サイレント・オナーズ・ダーク・ナイト
No.101 S・H・Ark Knight,ナンバーズヒャクイチ サイレント・オナーズ・アーク・ナイト
No.39 希望皇ホープ・ルーツ,ナンバーズサンジュウキュウ キボウオウホープ・ルーツ
CNo.69 紋章死神カオス・オブ・アームズ,カオスナンバーズロクジュウキュウ デスメダリオンカオス・オブ・アームズ
CNo.92 偽骸虚龍 Heart-eartH Chaos Dragon,カオスナンバーズキュウジュウニ ギガイキョリュウ ハートアース・カオス・ドラゴン
No.36 先史遺産-超機関フォーク=ヒューク,ナンバーズサンジュウロク オーパーツ-チョウキカンフォーク=ヒューク
No.18 紋章祖プレイン・コート,ナンバーズジュウハチ モンショウソプレイン・コート
CNo.96 ブラック・ストーム,カオスナンバーズキュウジュウロク ブラック・ストーム
No.65 裁断魔人ジャッジ・バスター,ナンバーズロクジュウゴ サイダンマジンジャッジ・バスター
CNo.65 裁断魔王ジャッジ・デビル,カオスナンバーズロクジュウゴ サイダンマオウジャッジ・デビル
No.46 神影龍ドラッグルーオン,ナンバーズヨンジュウロク シンエイリュウドラッグルーオン
No.64 古狸三太夫,ナンバーズロクジュウヨン フルダヌキサンダユウ
CNo.39 希望皇ホープレイ・ヴィクトリー,カオスナンバーズサンジュウキュウ キボウオウホープレイ・ヴィクトリー
No.102 光天使グローリアス・ヘイロー,ナンバーズヒャクニ ホーリー・ライトニンググローリアス・ヘイロー
No.66 覇鍵甲虫マスター・キー・ビートル,ナンバーズロクジュウロク ハケンコウチュウマスター・キー・ビートル
No.104 仮面魔踏士シャイニング,ナンバーズヒャクヨン マスカレード・マジシャンシャイニング
CNo.104 仮面魔踏士アンブラル,カオスナンバーズヒャクヨン マスカレード・マジシャンアンブラル
No.107 銀河眼の時空竜,ナンバーズヒャクナナ ギャラクシーアイズ・タキオン・ドラゴン
No.105 BK 流星のセスタス,ナンバーズヒャクゴ バーニングナックラー リュウセイノセスタス
CNo.105 BK 彗星のカエストス,カオスナンバーズヒャクゴ バーニングナックラー スイセイノカエストス
No.92 偽骸神龍 Heart-eartH Dragon,ナンバーズキュウジュウニ ギガイシンリュウ ハートアース・ドラゴン
No.53 偽骸神 Heart-eartH,ナンバーズゴジュウサン ギガイシン ハートアース
CNo.32 海咬龍シャーク・ドレイク・バイス,カオスナンバーズサンジュウニ カイコウリュウシャーク・ドレイク・バイス
No.9 天蓋星ダイソン・スフィア,ナンバーズキュウ テンガイセイダイソン・スフィア
No.8 紋章王ゲノム・ヘリター,ナンバーズハチ モンショウオウゲノム・ヘリター
No.33 先史遺産-超兵器マシュ=マック,ナンバーズサンジュウサン オーパーツ-チョウヘイキマシュ=マック
No.32 海咬龍シャーク・ドレイク,ナンバーズサンジュウニ カイコウリュウシャーク・ドレイク
No.25 重装光学撮影機フォーカス・フォース,ナンバーズニジュウゴ フルメタル・フォトグライドフォーカス・フォース
CNo.39 希望皇ホープレイ,カオスナンバーズサンジュウキュウ キボウオウホープレイ
No.12 機甲忍者クリムゾン・シャドー,ナンバーズジュウニ キコウニンジャクリムゾン・シャドー
No.96 ブラック・ミスト,ナンバーズキュウジュウロク ブラック・ミスト
No.83 ギャラクシー・クィーン,ナンバーズハチジュウサン ギャラクシー・クィーン
No.10 白輝士イルミネーター,ナンバーズジュウ シロキシイルミネーター
No.20 蟻岩土ブリリアント,ナンバーズニジュウ ギガントブリリアント
No.17 リバイス・ドラゴン,ナンバーズジュウナナ リバイス・ドラゴン
No.34 電算機獣テラ・バイト,ナンバーズサンジュウヨン デンサンキジュウテラ・バイト
TGX1-HL,ティージーエックスワン-エイチエル
TGX300,ティージーエックススリーハンドレッド
